rank,prev_rank,name,league,off,def,spi
575,562,IK Start,Norwegian Tippeligaen,0.7,2.15,17.0
576,568,Juve Stabia,Italy Serie B,0.68,2.11,16.91
577,565,Sandefjord,Norwegian Tippeligaen,0.61,1.99,16.72
578,579,Charlotte Independence,United Soccer League,0.66,2.11,16.59
579,592,Northampton Town,English League Two,0.63,2.05,16.56
580,567,Cheltenham Town,English League Two,0.47,1.79,16.06
581,580,Central Coast Mariners,Australian A-League,0.8,2.41,15.92
582,581,LA Galaxy II,United Soccer League,0.73,2.31,15.71
583,582,Charleston Battery,United Soccer League,0.55,1.99,15.58
584,583,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
585,584,Birmingham Legion FC,United Soccer League,0.61,2.12,15.43
586,590,Exeter City,English League Two,0.57,2.08,15.08
587,586,Salford City,English League Two,0.53,2.03,14.7
588,587,Falkenbergs FF,Swedish Allsvenskan,0.55,2.08,14.64
589,588,AFC Wimbledon,English League One,0.48,1.96,14.47
590,585,Colchester United,English League Two,0.5,2.0,14.37
591,589,Rochdale,English League One,0.59,2.2,14.25
592,591,Shrewsbury Town,English League One,0.44,1.9,14.11
593,593,Bristol Rovers,English League One,0.49,2.01,13.99
594,594,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
595,595,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
596,596,Memphis 901 FC,United Soccer League,0.55,2.22,13.23
597,597,Crawley Town,English League Two,0.49,2.13,12.85
598,598,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
599,599,Colorado Springs Switchbacks FC,United Soccer League,0.51,2.2,12.62
600,600,Tranmere Rovers,English League One,0.51,2.23,12.43
601,601,New York Red Bulls II,United Soccer League,0.57,2.34,12.42
602,602,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
603,603,Port Vale,English League Two,0.42,2.07,12.01
604,604,Bradford City,English League Two,0.42,2.07,12.01
605,605,Tulsa Roughnecks,United Soccer League,0.54,2.34,11.88
606,606,Hartford Athletic,United Soccer League,0.62,2.53,11.76
607,607,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
608,608,Mansfield Town,English League Two,0.54,2.35,11.73
609,609,Loudoun United FC,United Soccer League,0.56,2.41,11.62
610,610,Oldham Athletic,English League Two,0.5,2.35,11.1
611,611,Southend United,English League One,0.62,2.62,10.98
612,612,Las Vegas Lights FC,United Soccer League,0.46,2.29,10.91
613,613,Scunthorpe,English League Two,0.43,2.3,10.33
614,614,Forest Green Rovers,English League Two,0.37,2.16,10.24
615,615,Walsall,English League Two,0.4,2.26,9.99
616,616,Tacoma Defiance,United Soccer League,0.51,2.52,9.91
617,617,Bolton,English League One,0.38,2.25,9.8
618,618,Leyton Orient,English League Two,0.43,2.37,9.7
619,619,Grimsby Town,English League Two,0.38,2.28,9.49
620,620,Rio Grande Valley FC Toros,United Soccer League,0.35,2.44,8.01
621,621,Carlisle United,English League Two,0.28,2.31,7.65
622,622,Newport County,English League Two,0.2,2.11,7.51
623,623,Atlanta United 2,United Soccer League,0.37,2.58,7.44
624,624,Swope Park Rangers,United Soccer League,0.38,2.64,7.19
625,625,Bethlehem Steel FC,United Soccer League,0.36,2.63,6.9
626,626,Macclesfield,English League Two,0.2,2.27,6.56
627,627,Cambridge United,English League Two,0.2,2.29,6.42
628,628,Stevenage,English League Two,0.2,2.3,6.39
629,629,Morecambe,English League Two,0.2,2.4,5.85
